Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValueRaw,TransferValue_EUR_Millions
Erling Haaland,Man City,24.0,F (C),92.8,100.0,€199.6M,199.6
Martin Ødegaard,Arsenal,26.0,"M, AM (C)",89.2,92.9,€125.8M,125.8
Alexander Isak,Newcastle Utd.,25.0,F (C),82.0,84.9,€119.4M,119.4
Cole Palmer,Chelsea,22.0,M (C),80.1,92.5,€117.4M,117.4
Alexis Mac Allister,Liverpool,26.0,"M, DM, AM (C)",85.5,88.9,€117M,117.0
Declan Rice,Arsenal,26.0,M (C),83.7,86.6,€116.4M,116.4
Bukayo Saka,Arsenal,23.0,"F, M (R)",87.2,96.9,€113M,113.0
Phil Foden,Man City,24.0,"AM (R), M (C)",86.5,93.6,€99.8M,99.8
Rodri,Man City,28.0,"DM, M (C)",88.2,88.9,€87M,87.0
Ryan Gravenberch,Liverpool,22.0,"DM, M (C)",86.8,98.3,€85.5M,85.5
Moisés Caicedo,Chelsea,23.0,DM (C),81.1,91.9,€82.8M,82.8
Bruno Guimarães,Newcastle Utd.,27.0,"DM, M (C)",80.9,82.6,€82.3M,82.3
Morgan Rogers,Aston Villa,23.0,M (CR),69.2,78.4,€79.6M,79.6
William Saliba,Arsenal,24.0,D (C),88.9,96.7,€79.5M,79.5
Omar Marmoush,Man City,26.0,F (C),77.1,79.4,€79.1M,79.1
Joško Gvardiol,Man City,23.0,D (CL),79.4,91.0,€77.4M,77.4
Sávio,Man City,21.0,"F (R), M (RL)",77.8,91.6,€74.8M,74.8
Rúben Dias,Man City,27.0,D (C),86.4,86.4,€74.5M,74.5
Enzo Fernández,Chelsea,24.0,"M, DM (C)",75.1,82.7,€74.2M,74.2
Lucas Paquetá,West Ham United,27.0,"AM, M (C)",76.0,78.0,€73.5M,73.5
Archie Gray,Tottenham,19.0,"D (CR), DM (C)",71.0,89.0,€72.5M,72.5
Dominik Szoboszlai,Liverpool,24.0,"M (C), AM (L)",86.9,93.8,€70.5M,70.5
Kai Havertz,Arsenal,25.0,F (C),85.1,89.1,€70M,70.0
Luis Díaz,Liverpool,28.0,"F (CL), M (L)",86.5,86.5,€69.3M,69.3
Cody Gakpo,Liverpool,25.0,"F, M, AM (L)",86.3,89.3,€67.7M,67.7
Brennan Johnson,Tottenham,23.0,"F, M (R)",76.4,84.3,€67M,67.0
Nicolas Jackson,Chelsea,23.0,F (C),81.5,91.3,€66.9M,66.9
Gabriel Magalhães,Arsenal,27.0,D (C),84.8,86.5,€66.5M,66.5
Jérémy Doku,Man City,22.0,M (L),80.1,89.3,€66.5M,66.5
Leny Yoro,Man Utd,19.0,D (CR),70.5,88.1,€66.2M,66.2
Murillo,Nottingham,22.0,D (C),73.9,85.8,€66M,66.0
Amadou Onana,Aston Villa,23.0,"DM, M (C)",68.7,76.0,€64.4M,64.4
Ollie Watkins,Aston Villa,29.0,F (C),80.4,80.9,€63.2M,63.2
Mohammed Kudus,West Ham United,24.0,"F (R), M (CL)",73.1,79.0,€63M,63.0
Jurrien Timber,Arsenal,23.0,D (RL),75.2,84.6,€62.7M,62.7
Rico Lewis,Man City,20.0,D (R),75.0,88.9,€62.7M,62.7
Matheus Cunha,Wolverhampton,25.0,F (C),80.9,83.2,€62.6M,62.6
Eberechi Eze,C. Palace,26.0,"AM, M (C), F (L)",74.9,75.8,€62.2M,62.2
Micky van de Ven,Tottenham,24.0,D (CL),71.1,79.1,€62M,62.0
Morgan Gibbs-White,Nottingham,25.0,"M, AM (C)",77.1,80.0,€61.7M,61.7
Milos Kerkez,B'mouth,21.0,D (L),75.7,91.1,€61.6M,61.6
Curtis Jones,Liverpool,24.0,"M, DM (C)",77.9,84.0,€61.6M,61.6
João Pedro,Brighton,23.0,"F, M, AM (C)",71.0,78.5,€61.3M,61.3
Bruno Fernandes,Man Utd,30.0,"AM, M (C)",79.8,79.9,€61.2M,61.2
Pedro Neto,Chelsea,25.0,"F, M (R)",70.6,75.9,€60.4M,60.4
Manuel Ugarte,Man Utd,24.0,"DM, M (C)",72.5,79.6,€60.3M,60.3
Dejan Kulusevski,Tottenham,25.0,"AM, M (C)",86.7,91.7,€60.3M,60.3
Rasmus Winther Højlund,Man Utd,22.0,F (C),77.1,87.8,€60M,60.0
Gabriel Martinelli,Arsenal,23.0,"F, AM (L)",87.7,96.4,€60M,60.0
Cristian Romero,Tottenham,27.0,D (C),72.6,74.8,€60M,60.0
Ben White,Arsenal,27.0,D (R),83.1,84.9,€59.9M,59.9
Levi Colwill,Chelsea,22.0,D (C),78.1,91.4,€59.8M,59.8
Darwin Núñez,Liverpool,25.0,"F (C), AM (L)",80.5,84.1,€59.7M,59.7
Destiny Udogie,Tottenham,22.0,D (L),78.5,90.3,€59.4M,59.4
Alejandro Garnacho,Man Utd,20.0,"F, M (L)",70.9,87.1,€59.2M,59.2
Marcus Rashford,Aston Villa,27.0,"M, AM (L), F (C)",79.1,79.2,€58.6M,58.6
Diogo Jota,Liverpool,28.0,F (C),83.2,83.6,€58.6M,58.6
Bryan Mbeumo,Brentford,25.0,"F (CR), M (R)",81.2,85.9,€57.6M,57.6
James Maddison,Tottenham,28.0,"AM, M (C)",81.2,81.2,€57.3M,57.3
Ibrahima Konaté,Liverpool,25.0,D (C),81.4,85.4,€57.2M,57.2
Dean Huijsen,B'mouth,20.0,D (C),65.2,82.3,€56.3M,56.3
Mathys Tel,Tottenham,20.0,"F (C), M (L)",67.5,80.9,€56M,56.0
Pedro Porro,Tottenham,25.0,D (R),74.6,79.7,€55.9M,55.9
Trent Alexander-Arnold,Liverpool,26.0,D (R),85.3,87.4,€55.4M,55.4
Illia Zabarnyi,B'mouth,22.0,D (C),75.3,88.1,€55.1M,55.1
Kobbie Mainoo,Man Utd,20.0,"M, DM (C)",68.8,87.2,€54.8M,54.8
Roméo Lavia,Chelsea,21.0,"DM, M (C)",67.3,77.6,€54.6M,54.6
Ethan Nwaneri,Arsenal,18.0,"F (R), M (C)",60.3,80.3,€54.6M,54.6
Sven Botman,Newcastle Utd.,25.0,D (C),73.2,77.6,€52.7M,52.7
Anthony Gordon,Newcastle Utd.,24.0,F (L),80.7,86.9,€52.4M,52.4
Noni Madueke,Chelsea,23.0,"F, M (R)",76.1,86.4,€52.3M,52.3
Sandro Tonali,Newcastle Utd.,24.0,M (C),78.0,82.3,€52.1M,52.1
Christopher Nkunku,Chelsea,27.0,"F (C), M (L)",79.1,81.0,€51.3M,51.3
Bernardo Silva,Man City,30.0,M (CR),86.7,87.8,€51.1M,51.1
João Gomes,Wolverhampton,24.0,"M, DM (C)",71.4,77.2,€51.1M,51.1
Dominic Solanke,Tottenham,27.0,F (C),79.5,80.2,€51M,51.0
Carlos Baleba,Brighton,21.0,"DM, M (C)",73.7,87.5,€51M,51.0
Matthijs de Ligt,Man Utd,25.0,D (CR),75.6,82.9,€50.8M,50.8
Pape Matar Sarr,Tottenham,22.0,"M, DM (C)",70.5,80.6,€50.8M,50.8
Adam Wharton,C. Palace,21.0,"DM, M (C)",68.1,81.3,€49.3M,49.3
Riccardo Calafiori,Arsenal,22.0,D (CL),73.1,80.7,€49.3M,49.3
Kaoru Mitoma,Brighton,27.0,"F, M (L)",80.2,80.2,€49.2M,49.2
Lisandro Martínez,Man Utd,27.0,D (CL),73.0,74.5,€49.2M,49.2
Marc Guéhi,C. Palace,24.0,D (CL),79.0,83.7,€48.9M,48.9
Amad Diallo,Man Utd,22.0,"F, M (R), AM (C)",69.4,76.9,€48.6M,48.6
Evan Ferguson,West Ham United,20.0,F (C),67.3,82.0,€48.5M,48.5
Valentino Livramento,Newcastle Utd.,22.0,D (RL),73.6,84.3,€48.4M,48.4
Nico González,Man City,23.0,"M, DM (C)",71.6,78.1,€48.4M,48.4
Abdukodir Khusanov,Man City,21.0,D (C),66.9,76.9,€48.4M,48.4
Jarrod Bowen,West Ham United,28.0,"M (R), F (C)",73.5,75.3,€48.4M,48.4
Harvey Elliott,Liverpool,22.0,"M (C), F (R)",75.7,86.7,€47.8M,47.8
Elliot Anderson,Nottingham,22.0,"M, DM (C)",79.6,89.8,€46.2M,46.2
Pau Torres,Aston Villa,28.0,D (C),75.6,77.2,€46.1M,46.1
Joelinton,Newcastle Utd.,28.0,"M (C), AM (L)",77.0,77.0,€45.7M,45.7
Jacob Ramsey,Aston Villa,23.0,M (CL),78.8,85.9,€45.7M,45.7
Gabriel Jesus,Arsenal,28.0,F (C),89.5,89.5,€45.6M,45.6
Anthony Elanga,Nottingham,23.0,M (R),75.0,82.6,€45.6M,45.6
Antoine Semenyo,B'mouth,25.0,M (RL),74.1,79.3,€45.4M,45.4
Noussair Mazraoui,Man Utd,27.0,"D (RL), M (R)",76.6,77.4,€45.3M,45.3
Boubacar Kamara,Aston Villa,25.0,"DM, M (C)",78.9,82.6,€45.2M,45.2
Justin Kluivert,B'mouth,25.0,"M (C), AM (R)",79.3,81.7,€44.3M,44.3
Ezri Konsa,Aston Villa,27.0,D (CR),75.9,76.1,€44.3M,44.3
Rayan Aït Nouri,Wolverhampton,23.0,"D, M (L)",70.5,77.7,€44M,44.0
Manuel Akanji,Man City,29.0,D (C),79.9,82.7,€43.7M,43.7
Jack Grealish,Man City,29.0,M (L),83.0,83.0,€43.3M,43.3
Joshua Zirkzee,Man Utd,23.0,F (C),73.5,80.1,€43.3M,43.3
Youri Tielemans,Aston Villa,27.0,"M, DM (C)",79.1,79.9,€43.3M,43.3
Antonee Robinson,Fulham,27.0,D (L),77.9,78.7,€42.7M,42.7
Yankuba Minteh,Brighton,20.0,"F, M (R)",74.0,85.6,€42.6M,42.6
Harvey Barnes,Newcastle Utd.,27.0,"F, AM, M (L)",78.2,78.6,€42.6M,42.6
Matheus Nunes,Man City,26.0,"M (CL), D (R)",71.6,72.7,€42.3M,42.3
Jan Paul van Hecke,Brighton,24.0,D (C),72.3,78.6,€41.9M,41.9
Guglielmo Vicario,Tottenham,28.0,GK,72.3,72.3,€41.6M,41.6
Vitor Reis,Man City,19.0,D (C),58.6,77.4,€41.4M,41.4
Georginio Rutter,Brighton,23.0,"F, M (C)",72.1,79.0,€41.2M,41.2
Nikola Milenković,Nottingham,27.0,D (C),78.2,80.3,€40.6M,40.6
Bilal El Khannouss,Leicester,20.0,"AM, M (C)",64.6,79.6,€40.6M,40.6
Ian Maatsen,Aston Villa,23.0,D (L),76.1,84.5,€40.5M,40.5
Emile Smith Rowe,Fulham,24.0,"AM (C), M (CL)",75.7,80.3,€40.4M,40.4
Mikel Merino,Arsenal,28.0,"M, F (C)",74.6,74.6,€39.7M,39.7
Marc Cucurella,Chelsea,26.0,D (L),75.7,78.7,€39.6M,39.6
Max Kilman,West Ham United,27.0,D (C),72.3,72.3,€39.3M,39.3
Leon Bailey,Aston Villa,27.0,"M, AM (R)",76.2,77.5,€38.6M,38.6
Mykhaylo Mudryk,Chelsea,24.0,"M, AM (L)",73.6,79.9,€38.2M,38.2
Diogo Dalot,Man Utd,26.0,"D (R), M (RL)",73.1,77.0,€37.5M,37.5
Ferdi Kadıoğlu,Brighton,25.0,D (L),71.0,75.3,€37.4M,37.4
Reece James,Chelsea,25.0,D (R),71.1,75.1,€37.4M,37.4
Cheick Doucouré,C. Palace,25.0,"DM, M (C)",73.5,76.5,€37.2M,37.2
Danilo,Nottingham,23.0,"DM, M (C)",72.3,78.6,€36.9M,36.9
Edson Álvarez,West Ham United,27.0,"DM, M, D (C)",70.8,71.7,€36.7M,36.7
Nathan Aké,Man City,30.0,D (CL),76.1,76.1,€36.4M,36.4
Joe Willock,Newcastle Utd.,25.0,M (C),73.3,77.4,€36.4M,36.4
Jadon Sancho,Chelsea,25.0,"M (RL), AM (L)",78.9,85.6,€36.2M,36.2
Jean-Clair Todibo,West Ham United,25.0,D (C),73.4,77.6,€36.1M,36.1
Lewis Hall,Newcastle Utd.,20.0,D (L),72.1,88.0,€36.1M,36.1
Malo Gusto,Chelsea,21.0,D (R),75.6,88.2,€36.1M,36.1
Myles Lewis-Skelly,Arsenal,18.0,"D (L), M (C)",59.7,79.0,€35.7M,35.7
Mason Mount,Man Utd,26.0,"AM, M (C)",70.2,72.9,€35.5M,35.5
Pervis Estupiñán,Brighton,27.0,D (L),74.0,76.2,€35.4M,35.4
Ibrahim Sangaré,Nottingham,27.0,"DM, M (C)",65.0,65.2,€34.6M,34.6
André Onana,Man Utd,29.0,GK,73.5,76.9,€34.2M,34.2
Simon Adingra,Brighton,23.0,"F (L), M (RL)",67.6,75.0,€34M,34.0
Vitaliy Mykolenko,Everton,25.0,D (L),75.7,77.8,€33.5M,33.5
Liam Delap,Ipswich Town,22.0,"F (C), AM (R)",65.8,75.1,€33M,33.0
Jarrad Branthwaite,Everton,22.0,D (C),77.2,85.6,€32.9M,32.9
Joachim Andersen,Fulham,28.0,D (C),78.6,78.6,€32.9M,32.9
Matty Cash,Aston Villa,27.0,D (R),74.9,74.9,€32.8M,32.8
Bart Verbruggen,Brighton,22.0,GK,72.3,84.4,€32M,32.0
Tyler Dibling,Southampton,19.0,"AM, M (R)",53.3,81.5,€32M,32.0
Leandro Trossard,Arsenal,30.0,F (CL),79.5,79.5,€31.8M,31.8
Jean-Philippe Mateta,C. Palace,27.0,F (C),74.8,74.8,€31.7M,31.7
Rodrigo Bentancur,Tottenham,27.0,"DM, M (C)",74.3,75.0,€31.4M,31.4
Yoane Wissa,Brentford,28.0,F (C),76.7,76.7,€31.4M,31.4
Lucas Bergvall,Tottenham,19.0,M (C),67.0,83.0,€31.3M,31.3
Alex Iwobi,Fulham,28.0,"F (L), M (RL)",76.3,76.3,€31.2M,31.2
Facundo Buonanotte,Leicester,20.0,"AM (C), M (CR)",66.8,84.2,€31.1M,31.1
Nathan Collins,Brentford,23.0,D (C),74.2,80.2,€30.7M,30.7
